Time,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]_x",Rural population (% of total population) [SP.RUR.TOTL.ZS]_x,Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF]_x,"Stillbirth rate (per 1,000 total births) [SH.DYN.STLB]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS]_x,GDP at market prices (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]_x","Population, male (% of total) [SP.POP.TOTL.MA.ZS]","Population, female (% of total) [SP.POP.TOTL.FE.ZS]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]_y","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]","Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, infant, female (per 1,000 live births) [SP.DYN.IMRT.FE.IN]","Mortality rate, infant, male (per 1,000 live births) [SP.DYN.IMRT.MA.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]",Population growth (annual %) [SP.POP.GROW],Number of infant deaths [SH.DTH.IMRT],Number of neonatal deaths [SH.DTH.NMRT],Net migration [SM.POP.NETM],"Population, female [SP.POP.TOTL.FE.IN]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Population, male [SP.POP.TOTL.MA.IN]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, total [SP.POP.TOTL]_y",Rural population [SP.RUR.TOTL],Rural population (% of total population) [SP.RUR.TOTL.ZS]_y,Rural population growth (annual %) [SP.RUR.TOTL.ZG],Urban population [SP.URB.TOTL],Urban population (% of total population) [SP.URB.TOTL.IN.ZS]_y,Urban population growth (annual %) [SP.URB.GROW],Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF]_y
1987,ARG,70.728,22.232,14.157,1.053,,85.843,111106191358.197,3562.87560174521,31184415.0,48.8217526378805,51.1782473621195,22.232,8.157,3.059,74.004,67.148,70.564,122.404,216.781,25.7,22.8,28.5,16.8,1.51097418180074,17679.0,11646.0,32345.0,15862727.0,50.815276802909,15353727.0,49.1847264005299,31216453.0,4419313.0,14.157,-1.26157244837195,26797140.0,85.843,1.97569092831855,1.053
1988,ARG,70.333,22.069,13.767,1.054,,86.233,126206817196.091,3985.19121035849,31668949.0,48.7717633988306,51.2282366011694,22.069,7.96,3.042,74.381,67.711,71.052,119.584,208.954,25.6,22.5,28.5,16.3,1.50808699373212,17747.0,11360.0,30243.0,16100939.0,50.8063635645332,15589854.0,49.1936395909575,31690792.0,4362871.0,13.767,-1.28539272523412,27327921.0,86.233,1.961376138972,1.054
1989,ARG,69.963,21.907,13.387,1.054,,86.613,76636898036.4712,2383.86769311311,32148134.0,48.7298533037855,51.2701466962145,21.907,7.841,3.022,74.735,68.09,71.425,117.014,204.05,25.6,22.6,28.4,15.6,1.48765537832153,17864.0,10991.0,20445.0,16338719.0,50.7953673480059,15827047.0,49.2046326519941,32165766.0,4306031.0,13.387,-1.31137287194314,27859735.0,86.613,1.92735296674643,1.054
1990,ARG,70.928,21.989,13.016,1.054,,86.984,141352368714.691,4333.48297312146,32618651.0,48.6989313597547,51.3010686402453,21.989,7.743,3.034,74.963,68.552,71.784,115.717,197.946,25.4,22.5,28.1,15.0,1.45640251463185,18002.0,10778.0,6021.0,16574141.0,50.7822635675104,16063515.0,49.2177333685442,32637657.0,4248117.0,13.016,-1.35407722398728,28389540.0,86.984,1.88383110037878,1.054
1991,ARG,71.979,21.844,12.672,1.054,,87.328,189719984268.485,5735.36032735223,33079000.0,48.6806978033981,51.3193021966019,21.844,7.536,3.012,75.635,68.957,72.319,110.058,192.838,25.1,22.3,27.7,14.7,1.42406315580335,17977.0,10636.0,-8569.0,16807594.0,50.7693902116076,16298168.0,49.2306067677703,33105763.0,4195162.0,12.672,-1.25438693580294,28910601.0,87.328,1.81875770013478,1.054
1992,ARG,72.151,21.683,12.458,1.054,,87.542,228788617201.696,6823.5376160468,33529326.0,48.672928648717,51.327071351283,21.683,7.595,2.987,75.719,69.095,72.43,110.21,191.719,24.4,21.8,26.9,14.6,1.38743464174592,17637.0,10609.0,-13201.0,17039077.0,50.759450475352,16529209.0,49.2405525036504,33568285.0,4181937.0,12.458,-0.315742024464562,29386348.0,87.542,1.63218682909353,1.054
1993,ARG,72.502,21.57,12.248,1.054,,87.752,236741715015.015,6969.11808781005,33970111.0,48.670064379846,51.329935620154,21.57,7.631,2.966,75.94,69.16,72.565,109.009,191.683,23.5,21.0,26.0,14.4,1.35796579095645,17143.0,10598.0,-16383.0,17269492.0,50.7519622514197,16757748.0,49.2480377485803,34027240.0,4167656.0,12.248,-0.342076887482955,29859584.0,87.752,1.5975647575265,1.054
1994,ARG,73.516,21.419,12.04,1.055,,87.96,257440000000.0,7483.13968170844,34402672.0,48.6646515710743,51.3353484289257,21.419,7.403,2.935,76.049,70.18,73.172,108.916,177.904,22.6,20.0,25.0,14.2,1.34702378575008,16565.0,10463.0,-18725.0,17499129.0,50.7387377011877,16989567.0,49.2612622988123,34488696.0,4152439.0,12.04,-0.365789500413141,30336257.0,87.96,1.58377374866076,1.055
1995,ARG,72.81,20.974,11.836,1.055,,88.164,258031750000.0,7408.70823818765,34828170.0,48.6519072722975,51.3480927277025,20.974,7.535,2.864,76.243,69.95,73.133,107.854,181.927,21.6,19.2,23.9,13.6,1.31755424518083,15837.0,9964.0,-19736.0,17725502.0,50.7223894161611,17220607.0,49.2776077222901,34946110.0,4136222.0,11.836,-0.391306163756877,30809888.0,88.164,1.54920795991608,1.055
1996,ARG,71.39,20.449,11.634,1.054,,88.366,272149750000.0,7721.35454273963,35246374.0,48.6299215556232,51.3700784443768,20.449,7.541,2.781,76.418,70.123,73.307,107.068,180.225,20.7,18.2,23.0,12.6,1.26041058779251,14992.0,9122.0,-20396.0,17946204.0,50.7107305296999,17443158.0,49.2892694703001,35389362.0,4117198.0,11.634,-0.460997591090687,31272164.0,88.366,1.48926953663223,1.054
1997,ARG,70.424,19.985,11.436,1.054,,88.564,292859000000.0,8213.12719994479,35657429.0,48.6012988370056,51.3987011629944,19.985,7.778,2.706,76.464,69.705,73.09,107.397,187.009,19.8,17.5,21.9,11.5,1.19826447409119,14180.0,8262.0,-20588.0,18160104.0,50.7039275858248,17655867.0,49.2960724141752,35815971.0,4095914.0,11.436,-0.518294348008762,31720057.0,88.564,1.42208209536414,1.054
1998,ARG,69.307,19.738,11.241,1.055,,88.759,298948250000.0,8289.50572933118,36063459.0,48.5712667930753,51.4287332069246,19.738,7.651,2.662,76.758,70.149,73.474,105.342,181.185,19.0,16.7,21.1,10.9,1.15817763601349,13520.0,7808.0,-20331.0,18370060.0,50.6995311895625,17863135.0,49.3004688104375,36233195.0,4072973.0,11.241,-0.561669179911022,32160222.0,88.759,1.37811535334639,1.055
1999,ARG,68.268,19.674,11.048,1.055,,88.952,283523000000.0,7774.73620280001,36467218.0,48.5471033189315,51.4528966810685,19.674,7.615,2.643,76.989,70.407,73.722,103.831,178.221,18.2,16.2,20.2,10.9,1.15204385364535,13049.0,7852.0,-20220.0,18580528.0,50.6930190848337,18072503.0,49.3069809151663,36653031.0,4049427.0,11.048,-0.579780999640802,32603604.0,88.952,1.36924871374482,1.055
2000,ARG,66.54,19.366,10.858,1.055,7.8,89.142,284203750000.0,7708.10099605414,36870787.0,48.5336009561605,51.4663990438395,19.366,7.6,2.591,77.223,70.583,73.926,102.208,176.243,17.6,15.6,19.5,11.1,1.13327702210541,12611.0,7941.0,-22770.0,18790028.0,50.6869049996097,18280746.0,49.3130950003903,37070774.0,4025145.0,10.858,-0.60144545611493,33045629.0,89.142,1.34664689815167,1.055
2001,ARG,64.0,18.983,10.671,1.054,7.6,89.329,268696750000.0,7208.3715665121,37275652.0,48.5320548720768,51.4679451279232,18.983,7.549,2.531,77.59,70.749,74.186,99.422,174.541,17.0,15.1,18.7,11.0,1.0991714603689,12094.0,7851.0,-22787.0,18996369.0,50.6833488022689,18484124.0,49.316651197731,37480493.0,3999543.0,10.671,-0.638083047350588,33480950.0,89.329,1.30873169770709,1.054
2002,ARG,63.078,18.756,10.49,1.054,7.3,89.51,97724004251.8602,2593.40415042466,37681749.0,48.540180320215,51.459819679785,18.756,7.518,2.493,78.075,70.752,74.408,95.58,174.967,16.4,14.7,18.0,10.7,1.07353834961783,11624.0,7632.0,-22668.0,19201347.0,50.6832065690964,18683681.0,49.3167934309036,37885028.0,3974139.0,10.49,-0.63719837221373,33910889.0,89.51,1.27595518811745,1.054
2003,ARG,60.281,18.453,10.314,1.055,6.9,89.686,127586973492.177,3349.8061244115,38087868.0,48.5549518578962,51.4450481421038,18.453,7.864,2.451,77.276,70.83,74.08,102.93,174.324,15.8,14.2,17.4,10.3,1.03236085902218,11188.0,7257.0,-22353.0,19398462.0,50.6776187071041,18879701.0,49.3223786804404,38278164.0,3948010.0,10.314,-0.659646637463278,34330154.0,89.686,1.22879210827292,1.055
2004,ARG,62.62,18.352,10.14,1.056,6.2,89.86,164657930452.787,4277.72135064389,38491972.0,48.5720034594228,51.4279965405772,18.352,7.48,2.43,78.103,71.53,74.855,95.868,165.484,15.3,13.7,16.9,9.7,1.01533668354561,10812.0,6893.0,-22336.0,19591796.0,50.6656478262214,19077001.0,49.3343547598431,38668796.0,3921016.0,10.14,-0.686085060253733,34747780.0,89.86,1.20915917460343,1.056
2005,ARG,64.877,18.353,9.96899999999999,1.059,5.8,90.031,198737095012.282,5109.85132522621,38892931.0,48.5881827758695,51.4118172241305,18.353,7.423,2.426,78.527,71.692,75.139,92.45,163.848,14.8,13.2,16.4,9.2,1.03347622351885,10552.0,6574.0,-21961.0,19791355.0,50.6554932582001,19279145.0,49.3445041823242,39070501.0,3894938.0,9.96899999999999,-0.667304254092237,35175563.0,90.031,1.22359234802314,1.059
2006,ARG,64.07,18.194,9.8,1.062,5.6,90.2,232557260817.308,5919.01203707753,39289878.0,48.6027901946038,51.3972098053962,18.194,7.369,2.4,78.716,72.066,75.433,90.894,159.537,14.4,12.8,15.9,8.7,1.03467173566483,10312.0,6271.0,-19958.0,19992747.0,50.644229449811,19484104.0,49.355770550189,39476851.0,3868731.0,9.8,-0.675121506093421,35608120.0,90.2,1.22220931788621,1.062
2007,ARG,66.424,18.005,9.634,1.063,5.5,90.366,287530508430.568,7245.44831728945,39684295.0,48.6166255710728,51.3833744289272,18.005,7.748,2.37,78.515,71.487,75.006,92.523,167.463,14.1,12.5,15.5,8.4,1.00629733064648,10068.0,6030.0,-18051.0,20190731.0,50.6336513106807,19685381.0,49.3663511970864,39876111.0,3841665.0,9.634,-0.702067991666911,36034446.0,90.366,1.19016125791417,1.063
2008,ARG,66.149,17.812,9.47,1.062,5.4,90.53,361558037110.419,9020.87309807194,40080160.0,48.6299193573558,51.3700806426442,17.812,7.467,2.341,78.927,72.276,75.641,88.91,157.517,13.7,12.2,15.1,8.1,0.992294094354656,9834.0,5808.0,-12450.0,20387718.0,50.6228210227853,19886051.0,49.3771789772147,40273769.0,3813926.0,9.47,-0.724676158743903,36459843.0,90.53,1.17361488361579,1.062
2009,ARG,66.695,17.849,9.309,1.061,5.2,90.691,332976484577.619,8225.13717626412,40482788.0,48.643346828946,51.356653171054,17.849,7.41,2.344,79.07,72.694,75.936,87.333,152.466,13.4,11.9,14.8,7.8,1.01428389337816,9632.0,5656.0,-7869.0,20588982.0,50.6066535972639,20095357.0,49.3933488606844,40684338.0,3787305.0,9.309,-0.700442042602305,36897033.0,90.691,1.19196781572589,1.061
2010,ARG,67.064,17.87,9.151,1.061,4.8,90.849,423627422092.49,10385.9644319555,40788453.0,48.6572578163438,51.3427421836562,17.87,7.661,2.346,78.838,72.516,75.721,88.828,154.367,12.9,11.5,14.3,7.6,0.255582398485167,9428.0,5559.0,-4970.0,20633966.0,50.5877634478126,20154486.0,49.4122341191047,40788453.0,3732551.0,9.151,-1.45627702594739,37055902.0,90.849,0.429649599145157,1.061
2011,ARG,68.264,17.806,9.01000000000001,1.062,4.9,90.99,530163281574.658,12848.8641969705,41261490.0,48.6715491345615,51.3284508654385,17.806,7.51,2.338,79.322,72.841,76.124,84.699,150.196,12.4,11.2,13.7,7.5,1.15305928006386,9149.0,5561.0,-1011.0,20865767.0,50.5695924494602,20395723.0,49.4304075505398,41261490.0,3717660.0,9.01000000000001,-0.399747599889796,37543830.0,90.99,1.30814131603172,1.062
2012,ARG,68.719,17.729,8.879,1.062,5.1,91.121,545982375701.128,13082.664325572,41733271.0,48.6857920505591,51.3142079494409,17.729,7.394,2.33,79.953,72.939,76.467,79.569,148.625,11.9,10.7,13.1,7.5,1.13690569378967,8818.0,5591.0,3127.0,21099001.0,50.5567874421383,20634269.0,49.4432101742059,41733271.0,3705497.0,8.879,-0.327704530158683,38027774.0,91.121,1.28077370283392,1.062
2013,ARG,69.167,17.632,8.751,1.06,5.2,91.249,552025140252.246,13080.2547323367,42202935.0,48.6998090863231,51.3001909136769,17.632,7.494,2.322,79.927,73.011,76.491,79.171,147.396,11.4,10.2,12.5,7.4,1.11910919999772,8466.0,5501.0,5369.0,21332490.0,50.54740970904,20870445.0,49.45259029096,42202935.0,3693179.0,8.751,-0.332978802729149,38509756.0,91.249,1.25948243003778,1.06
2014,ARG,67.791,17.504,8.623,1.059,5.2,91.377,526319673731.638,12334.7982453893,42669500.0,48.7134144894209,51.2865855105791,17.504,7.447,2.312,80.004,73.424,76.755,78.091,142.238,10.9,9.7,11.9,7.0,1.09946109101836,8107.0,5256.0,5801.0,21562981.0,50.5348816345132,21106519.0,49.4651183654868,42669500.0,3679391.0,8.623,-0.374035541874903,38990109.0,91.377,1.2396386789085,1.059
2015,ARG,65.395,17.346,8.497,1.057,5.1,91.503,594749285413.212,13789.060424772,43131966.0,48.72651723201,51.27348276799,17.346,7.543,2.301,80.188,73.294,76.76,76.307,143.506,10.3,9.3,11.4,6.6,1.07800134449604,7735.0,4981.0,5522.0,21791541.0,50.5229492569595,21340426.0,49.4770530548016,43131966.0,3664923.0,8.497,-0.393992378745193,39467043.0,91.503,1.21579706300955,1.057
2016,ARG,61.852,16.824,8.373,1.056,5.2,91.627,557531376217.967,12790.2424732447,43590368.0,48.7390256685487,51.2609743314513,16.824,7.947,2.241,79.67,72.933,76.308,79.285,147.558,9.8,8.7,10.8,6.4,1.05718157762752,7238.0,4677.0,5215.0,22019065.0,50.5136009485704,21571303.0,49.4863990514296,43590368.0,3649822.0,8.373,-0.412892628615815,39940546.0,91.627,1.19260291906809,1.056
2017,ARG,57.783,16.206,8.251,1.053,5.3,91.749,642695864756.35,14591.8633810541,44044811.0,48.7510100508811,51.2489899491189,16.206,7.692,2.168,80.085,73.526,76.833,75.849,140.418,9.1,8.1,10.1,6.2,1.03713389686514,6596.0,4419.0,4926.0,22244116.0,50.5033751741248,21800696.0,49.4966270957849,44044811.0,3634137.0,8.251,-0.43067305139086,40410674.0,91.749,1.17019595911431,1.053
2018,ARG,51.029,15.187,8.13,1.053,5.3,91.87,519871519807.795,11683.9496216363,44494502.0,48.7626515543443,51.2373484456557,15.187,7.68,2.039,80.329,73.631,76.999,73.538,138.893,8.4,7.2,9.5,6.1,1.01580834908002,5823.0,4088.0,4690.0,22467488.0,50.494976808453,22027014.0,49.505023191547,44494502.0,3617403.0,8.13,-0.461530370218559,40877099.0,91.87,1.14760215897919,1.053
2019,ARG,46.153,14.783,8.009,1.052,4.9,91.991,,,44901000.0,48.7741977984923,51.2258022015077,14.783,7.6,1.994,80.681,73.857,77.284,70.582,136.151,7.6,6.5,8.7,5.9,0.993397493293046,5086.0,3888.0,4478.0,22689693.0,50.4903060686299,22249019.0,49.5096939313701,44938712.0,3599141.0,8.009,-0.506115918707072,41339571.0,91.991,1.12501972603644,1.052
2020,ARG,39.866,14.125,7.889,1.052,4.5,92.111,,,,,,14.125,8.509,1.911,79.285,72.546,75.892,87.621,147.707,6.8,5.9,7.8,5.6,0.970053991438048,4432.0,3541.0,2344.0,22911069.0,50.4907514942702,22465694.0,49.5092485057298,45376763.0,3579773.0,7.889,-0.539581529777376,41796990.0,92.111,1.10041505272326,1.052
2021,ARG,,13.902,7.771,1.052,4.3,92.229,,,,,,13.902,8.955,1.885,78.647,72.182,75.39,90.414,147.702,6.1,5.3,6.9,5.1,0.947490959333989,3885.0,3232.0,2344.0,23130548.0,50.4937365245497,22678199.0,49.5062634754503,45808747.0,3559798.0,7.771,-0.559558889997761,42248949.0,92.229,1.07551503856124,1.052
2022,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,3886.0,23252261.0,50.4933870161048,22797851.0,49.5066129838952,46050112.0,3524215.0,7.65300000000001,,42525897.0,92.347,,
1987,AUS,19.691,15.4,14.478,1.054,,85.522,189060349391.212,11624.5395871355,16263900.0,49.8990957204338,50.1009042795662,15.4,7.5,1.845,79.44,73.02,76.1517073170732,73.58,136.15,8.8,7.6,9.8,5.3,1.52113890433154,2124.0,1285.0,131625.0,8144659.0,50.0782231700861,8119214.0,49.9217706795683,16263874.0,2354684.0,14.478,1.72858749820475,13909190.0,85.522,1.4860625274328,1.054
1988,AUS,19.588,14.9,14.507,1.053,,85.493,235659196740.396,14254.5575749384,16532200.0,49.8875230378711,50.1124769621288,14.9,7.2,1.831,79.68,73.34,76.4326829268293,71.991,132.608,8.4,7.4,9.4,5.1,1.63614876307642,2050.0,1242.0,150553.0,8282694.0,50.1004816499286,8249470.0,49.8995183500714,16532164.0,2398321.0,14.507,1.83623733230989,14133843.0,85.493,1.60223614886686,1.053
1989,AUS,20.015,14.9,14.537,1.053,,85.463,299267974920.609,17798.3142378324,16814400.0,49.8714041274049,50.1285958725951,14.9,7.3,1.838,79.92,73.66,76.7136585365854,70.172,130.174,8.0,7.0,9.0,4.9,1.69287969389346,1980.0,1211.0,140156.0,8426644.0,50.1155889517562,8387772.0,49.8844110482439,16814416.0,2444312.0,14.537,1.89947835380697,14370104.0,85.463,1.65778031243115,1.053
1990,AUS,21.673,15.4,14.567,1.057,,85.433,310777222008.465,18211.2745901556,17065100.0,49.851320118392,50.148679881608,15.4,7.0,1.902,80.16,73.98,76.9946341463415,66.314,123.906,7.6,6.6,8.5,4.6,1.48004693689661,1934.0,1211.0,95996.0,8555086.0,50.1319773348233,8510043.0,49.8680285309664,17065128.0,2485877.0,14.567,1.68618220568608,14579251.0,85.433,1.44494161541517,1.057
1991,AUS,21.491,14.9,14.597,1.055,,85.403,325310415195.04,18821.4773892062,17284000.0,49.8258241277171,50.1741758722829,14.9,6.9,1.849,80.4,74.3,77.2756097560976,65.316,118.763,7.1,6.3,8.0,4.4,1.2746217855676,1848.0,1144.0,68867.0,8669304.0,50.1578707905224,8614731.0,49.8421234194538,17284036.0,2522951.0,14.597,1.48037333536157,14761085.0,85.403,1.2394972436905,1.055
1992,AUS,21.593,15.1,14.715,1.055,,85.285,324878874105.975,18569.8127525565,17495000.0,49.7959766992398,50.2040233007602,15.1,7.1,1.888,80.4,74.5,77.3780487804878,64.999,116.61,6.7,5.9,7.5,4.2,1.11959770147047,1748.0,1115.0,34149.0,8771556.0,50.184446629189,8707078.0,49.8155476442554,17478635.0,2571981.0,14.715,1.92471709543052,14906654.0,85.285,0.981336449097776,1.055
1993,AUS,20.629,14.7,14.843,1.055,,85.157,311544406970.208,17634.2563519674,17667000.0,49.7681133288694,50.2318866711306,14.7,6.9,1.859,80.9,75.0,77.8780487804878,61.603,112.772,6.3,5.6,7.1,4.0,0.889539825558206,1658.0,1053.0,23422.0,8853961.0,50.2073021421703,8780847.0,49.7926978578297,17634808.0,2617535.0,14.843,1.75566161100748,15017273.0,85.157,0.739338148287492,1.055
1994,AUS,20.312,14.5,14.972,1.056,,85.028,322211691456.244,18046.0202439789,17855000.0,49.7501141386652,50.2498858613348,14.5,7.1,1.842,80.9,75.0,77.8780487804878,62.04,112.33,6.0,5.3,6.7,3.9,0.963092494678111,1559.0,1000.0,53636.0,8943067.0,50.2265198446503,8862401.0,49.7734801553497,17805468.0,2665835.0,14.972,1.82842941577209,15139633.0,85.028,0.811493536319338,1.056
1995,AUS,19.797,14.2,15.102,1.055,,84.898,367216364716.365,20319.6306283956,18072000.0,49.7470944806957,50.2529055193043,14.2,6.9,1.822,80.8,75.0,77.8292682926829,60.378,108.979,5.8,5.1,6.4,3.7,1.11373422085118,1481.0,958.0,79727.0,9046575.0,50.2451230486654,8958307.0,49.7548769513346,18004882.0,2719097.0,15.102,1.97825105258665,15285785.0,84.898,0.960730427133882,1.055
1996,AUS,19.469,13.9,15.233,1.056,,84.767,400302731411.229,21861.32550987,18311000.0,49.7615297894792,50.2384702105208,13.9,7.0,1.796,81.1,75.2,78.0780487804878,60.117,107.832,5.6,4.9,6.2,3.7,1.21385498322201,1417.0,925.0,82770.0,9161956.0,50.2720070371783,9062811.0,49.7279929628217,18224767.0,2776179.0,15.233,2.07756819392709,15448588.0,84.767,1.05942960174121,1.056
1997,AUS,18.99,13.6,15.364,1.054,,84.636,434568007512.913,23468.5968306374,18517000.0,49.7904058827864,50.2095941172136,13.6,7.0,1.778,81.4,75.7,78.4804878048781,59.605,104.411,5.4,4.9,6.0,3.6,1.0820399195962,1366.0,902.0,67260.0,9267611.0,50.3044716937576,9155427.0,49.6955337379992,18423037.0,2830515.0,15.364,1.93831520638578,15592522.0,84.636,0.927383277036106,1.054
1998,AUS,18.257,13.3,15.497,1.053,,84.503,398899138574.239,21318.9641694318,18711000.0,49.8264246347735,50.1735753652265,13.3,6.8,1.762,81.5,75.9,78.6317073170732,57.991,103.662,5.3,4.7,5.9,3.6,0.996734717801419,1326.0,888.0,72084.0,9365746.0,50.3329513424791,9241838.0,49.6670486575209,18607584.0,2883617.0,15.497,1.85867350418259,15723967.0,84.503,0.839466850290196,1.053
1999,AUS,17.959,13.1,15.63,1.051,,84.37,388608221581.652,20533.035061907,18926000.0,49.8596059321743,50.1403940678257,13.1,6.8,1.755,81.8,76.2,78.9317073170732,55.876,101.033,5.2,4.6,5.8,3.5,1.09397580294231,1294.0,879.0,85011.0,9473113.0,50.356052255393,9339151.0,49.643947744607,18812264.0,2940357.0,15.63,1.94855936107409,15871907.0,84.37,0.936458229555938,1.051
2000,AUS,17.357,13.0,15.765,1.053,3.7,84.235,415222633925.768,21679.2478424147,19153000.0,49.8832473629953,50.1167526370047,13.0,6.7,1.756,82.0,76.6,79.2341463414634,56.11,97.967,5.1,4.6,5.6,3.5,1.14447285147721,1269.0,875.0,109375.0,9585767.0,50.375042795067,9443035.0,49.624957204933,19028802.0,2999891.0,15.765,2.00449521245382,16028911.0,84.235,0.984333804176905,1.053
2001,AUS,17.238,12.7,15.9,1.053,3.5,84.1,378376086723.194,19490.8611097303,19413000.0,49.894189409605,50.105810590395,12.7,6.6,1.739,82.4,77.0,79.6341463414634,53.636,93.793,5.0,4.5,5.5,3.5,1.28396809127349,1242.0,858.0,113907.0,9711085.0,50.382543396524,9563615.0,49.6174514081696,19274701.0,3064677.0,15.9,2.13662257997313,16210024.0,84.1,1.12357871219199,1.053
2002,AUS,16.826,12.8,15.778,1.053,3.3,84.222,394648911678.526,20082.4832672749,19651400.0,49.8951053240272,50.1048946759728,12.8,6.8,1.756,82.6,77.4,79.9365853658537,53.059,90.801,5.0,4.4,5.5,3.4,1.1375387361946,1229.0,858.0,107886.0,9821222.0,50.377616497647,9673988.0,49.622383502353,19495210.0,3075954.0,15.778,0.367291657079596,16419256.0,84.222,1.28249760868533,1.053
2003,AUS,15.998,12.6,15.657,1.056,3.3,84.343,466488060570.763,23447.0310006717,19895400.0,49.8920641863808,50.1079358136192,12.6,6.6,1.748,82.8,77.8,80.2390243902439,50.706,89.052,4.9,4.4,5.4,3.4,1.15019273319182,1224.0,846.0,103907.0,9933517.0,50.3709198624763,9787220.0,49.6290801375237,19720737.0,3087676.0,15.657,0.380360733277739,16633061.0,84.343,1.29375488089444,1.056
2004,AUS,15.913,12.3,15.537,1.056,3.2,84.463,612490396927.017,30430.6764374443,20127400.0,49.8935595156737,50.1064404843263,12.3,6.5,1.768,83.0,78.1,80.490243902439,49.508,86.332,4.8,4.3,5.3,3.3,1.06919812205752,1218.0,842.0,109226.0,10038538.0,50.3621018681202,9894184.0,49.6378981318798,19932722.0,3096947.0,15.537,0.29980831311354,16835775.0,84.463,1.21137453896552,1.056
2005,AUS,15.998,12.8,15.418,1.056,3.2,84.582,693407758231.845,33999.2428575835,20394800.0,49.9048370340713,50.0951629659287,12.8,6.4,1.807,83.3,78.5,80.8414634146341,47.595,85.447,4.8,4.3,5.2,3.3,1.21729073052406,1228.0,858.0,132109.0,10158934.0,50.3494717434017,10017910.0,49.6505282565983,20176844.0,3110866.0,15.418,0.448435651179649,17065978.0,84.582,1.35808044012136,1.056
2006,AUS,15.815,12.9,15.3,1.057,3.1,84.7,746054207846.661,36044.9228108485,20697900.0,49.9283407141082,50.0716592858918,12.9,6.4,1.908,83.5,78.7,81.0414634146342,48.235,82.945,4.7,4.2,5.1,3.2,1.34945083098893,1238.0,863.0,192139.0,10292899.0,50.3296472424187,10158068.0,49.6703576434881,20450966.0,3128998.0,15.3,0.581168148375217,17321968.0,84.7,1.48886315447039,1.057
2007,AUS,16.67,14.1,15.178,1.056,3.1,84.822,853099630996.31,40960.0544948199,20827600.0,49.9598997702227,50.0401002297773,14.1,6.7,1.959,83.7,79.0,81.2926829268293,48.119,84.719,4.5,4.1,5.0,3.1,1.82499679529254,1261.0,896.0,251231.0,10475417.0,50.29578757023,10352205.0,49.70421242977,20827622.0,3161216.0,15.178,1.02439382002813,17666406.0,84.822,1.96893475127689,1.056
2008,AUS,17.776,14.0,15.057,1.056,3.1,84.943,1053995523724.26,49601.6567082178,21249200.0,49.9907112657791,50.0092887342209,14.0,6.7,1.984,83.7,79.2,81.3951219512195,46.643,82.004,4.4,3.9,4.8,3.0,2.00391140524272,1277.0,894.0,278516.0,10678307.0,50.2527523578478,10570891.0,49.7472429357988,21249199.0,3199492.0,15.057,1.2035283498591,18049707.0,84.943,2.14645819019787,1.056
2009,AUS,17.408,13.9,14.937,1.056,3.1,85.063,927805183330.879,42772.3591664498,21691700.0,50.0094111255964,49.9905888744036,13.9,6.5,1.971,83.9,79.3,81.5439024390244,47.91,81.768,4.2,3.7,4.6,2.9,2.06083316277243,1244.0,858.0,235881.0,10894107.0,50.2225762447825,10797546.0,49.7774237552175,21691653.0,3240082.0,14.937,1.26065909223892,18451571.0,85.063,2.20200639528942,1.056
2010,AUS,16.622,13.7,14.818,1.055,3.1,85.182,1146138465603.81,52022.1255961876,22031750.0,50.0091560760935,49.9908439239065,13.7,6.5,1.928,84.0,79.5,81.6951219512195,45.704,78.634,4.0,3.6,4.4,2.8,1.55570626204128,1193.0,827.0,166833.0,11064202.0,50.2193497955963,10967548.0,49.7806502044037,22031750.0,3264665.0,14.818,0.75585159692878,18767085.0,85.182,1.6955021612661,1.055
2011,AUS,15.981,13.6,14.7,1.056,3.0,85.3,1396649906339.35,62517.8337471503,22340024.0,49.9877229578736,50.0122770421264,13.6,6.6,1.926,84.2,79.7,81.8951219512195,46.069,78.281,3.8,3.4,4.2,2.6,1.38952731561803,1141.0,789.0,197748.0,11220985.0,50.2281698010568,11119039.0,49.7718301989432,22340024.0,3283984.0,14.7,0.590016537588383,19056040.0,85.3,1.52795741614347,1.056
