Time,Country Code,Country Name,GDP (current US$),GDP growth (annual %),Number of infant deaths,Number of neonatal deaths,"Mortality rate, neonatal (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Net migration,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Mortality rate, infant, female (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)","Mortality rate, infant, male (per 1,000 live births)","Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Fertility rate, total (births per woman)",Sex ratio at birth (male births per female births),Population growth (annual %),"Population, total","Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)",Rural population,Rural population growth (annual %),Rural population (% of total population),Urban population growth (annual %),Urban population,Urban population (% of total population),"Healthy life expectancy, total (years)","Healthy life expectancy, male (years)","Healthy life expectancy, female (years)"
1987,HTI,Haiti,2047200000.0,-0.8,27021.0,11584.0,45.2,28.0,23.0,-25548.0,87.2,329.5,373.3,39.3,14.7,98.9,108.2,116.9,53.5,52.2,51.0,5.6,1.0,2.1,6508349.0,3296223.0,50.6,3212126.0,49.4,4863234.0,0.7,74.7,6.2,1645115.0,25.3,,,
1987,KIR,Kiribati,35709284.4,0.9,191.0,,,36.0,14.0,-221.0,66.5,246.1,299.0,37.8,10.1,66.9,73.5,79.7,61.0,59.4,57.8,4.8,1.1,2.4,69946.0,35292.0,50.5,34654.0,49.5,46083.0,2.0,65.9,3.3,23863.0,34.1,,,
1987,MEX,Mexico,147540738281.8,1.7,98789.0,59087.0,24.4,62.0,54.0,-618502.0,85.3,141.9,251.0,31.0,6.1,36.9,40.9,44.7,72.4,68.8,65.5,3.8,1.0,1.7,77553504.0,39311370.0,50.7,38242134.0,49.3,23294746.0,0.1,30.0,2.5,54258758.0,70.0,,,
1987,MHL,Marshall Islands,62983000.0,9.4,80.0,,,,31.0,-31.0,150.3,217.4,357.2,46.4,7.7,37.0,41.5,45.9,66.0,62.1,59.0,6.6,1.1,3.9,42122.0,20541.0,48.8,21581.0,51.2,15387.0,1.8,36.5,5.1,26735.0,63.5,,,
1987,NIC,Nicaragua,3851213727.7,-0.7,8556.0,3867.0,25.3,51.0,47.0,-25124.0,150.9,204.6,449.6,38.7,9.7,50.6,56.6,62.3,64.1,57.7,52.0,5.1,1.0,2.3,3941463.0,1993167.0,50.6,1948295.0,49.4,1882403.0,1.7,47.8,2.8,2059060.0,52.2,,,
1987,NRU,Nauru,,,15.0,,,55.0,,53.0,54.9,259.4,406.6,31.7,8.9,52.3,57.8,63.0,65.8,61.4,59.2,4.0,1.1,2.7,8759.0,4018.0,45.9,4741.0,54.1,0.0,,0.0,2.7,8759.0,100.0,,,
1987,NZL,New Zealand,40376354069.9,1.0,572.0,252.0,4.6,67.0,67.0,-7835.0,32.1,96.6,158.6,16.8,8.3,9.3,10.6,11.8,77.2,74.2,71.3,2.0,1.1,0.9,3274400.0,1655039.0,50.5,1619361.0,49.5,523085.0,-0.7,16.0,1.2,2751315.0,84.0,,,
1987,PAN,Panama,6827665300.0,-1.8,1823.0,1258.0,19.4,72.0,78.0,-1953.0,101.1,110.2,177.9,28.2,5.4,25.3,28.3,31.2,74.1,70.9,68.0,3.3,1.1,2.2,2297231.0,1137886.0,49.5,1159345.0,50.5,1083834.0,1.5,47.2,2.9,1213397.0,52.8,,,
1987,PER,Peru,20702298397.0,9.7,43641.0,21199.0,31.2,43.0,56.0,-40277.0,85.4,154.6,246.4,32.9,8.4,59.6,65.0,70.2,65.8,62.8,60.1,4.2,1.0,2.3,20671360.0,10351781.0,50.1,10319579.0,49.9,6679537.0,1.0,32.3,2.9,13991823.0,67.7,,,
1987,PLW,Palau,,,9.0,,,81.0,98.0,151.0,47.4,,,,,26.7,30.2,33.3,,,,,1.1,2.3,14309.0,6653.0,46.5,7656.0,53.5,4501.0,1.2,31.5,2.8,9808.0,68.5,,,
1987,PNG,Papua New Guinea,3143848331.3,2.8,8629.0,4349.0,32.4,44.0,37.0,-25718.0,87.8,236.9,334.5,37.2,8.3,61.4,65.6,69.7,62.0,59.2,57.3,5.4,1.1,2.2,3600343.0,1687890.0,46.9,1912453.0,53.1,3082254.0,1.9,85.6,3.6,518089.0,14.4,,,
1987,PRY,Paraguay,3971044723.8,7.6,5284.0,3132.0,23.5,58.0,56.0,-3444.0,94.9,179.9,215.7,35.7,6.9,36.5,40.2,43.6,68.6,67.0,65.4,4.8,1.1,2.8,3739050.0,1849066.0,49.5,1889985.0,50.5,2001775.0,1.4,53.5,4.4,1737275.0,46.5,,,
1987,SLB,Solomon Islands,155128568.0,8.4,378.0,,,66.0,58.0,-220.0,95.6,186.6,292.1,39.0,6.9,30.4,33.3,36.1,68.1,64.8,62.2,6.0,1.1,3.2,295836.0,141351.0,47.8,154486.0,52.2,257049.0,2.9,86.9,5.3,38787.0,13.1,,,
